4,1,understanding lesson,understanding lesson description,2022-03-29,16:18:00,17:48:00,29.94,35,room 30
4,1,ageing lesson,ageing lesson description,2022-04-08,15:23:00,16:53:00,229.22,35,room 17
4,1,turning lesson,turning lesson description,2022-04-17,16:10:00,17:40:00,454.16,35,room 17
4,4,seaing lesson,seaing lesson description,2022-04-27,09:29:00,10:59:00,22.14,35,room 2
4,1,againing lesson,againing lesson description,2022-05-06,09:56:00,11:26:00,156.52,35,online
4,5,pieceing lesson,pieceing lesson description,2022-05-16,12:27:00,13:57:00,111.68,35,room 5
4,5,currenting lesson,currenting lesson description,2022-05-26,08:58:00,10:28:00,395.21,35,online
5,3,papering lesson,papering lesson description,2022-05-01,08:33:00,10:03:00,162.95,25,room 15
5,2,recognizeing lesson,recognizeing lesson description,2022-05-15,11:55:00,13:25:00,103.76,25,room 2
5,1,siting lesson,siting lesson description,2022-05-29,09:23:00,10:53:00,138.87,25,online
5,4,futureing lesson,futureing lesson description,2022-06-12,09:38:00,11:08:00,233.03,25,room 30
5,1,mentioning lesson,mentioning lesson description,2022-06-26,13:02:00,14:32:00,437.34,25,online
6,1,reaching lesson,reaching lesson description,2022-09-01,11:19:00,12:49:00,366.07,25,room 26
6,4,presidenting lesson,presidenting lesson description,2022-09-08,13:53:00,15:23:00,152.53,25,room 24
6,4,whening lesson,whening lesson description,2022-09-16,12:28:00,13:58:00,57.84,25,room 11
6,1,responding lesson,responding lesson description,2022-09-24,08:57:00,10:27:00,410.91,25,room 29
6,1,internationaling lesson,internationaling lesson description,2022-10-02,14:38:00,16:08:00,88.88,25,room 1
6,5,themselvesing lesson,themselvesing lesson description,2022-10-10,10:54:00,12:24:00,67.51,25,room 19
6,1,recenting lesson,recenting lesson description,2022-10-18,17:11:00,18:41:00,481.70,25,online
6,2,sooning lesson,sooning lesson description,2022-10-25,16:10:00,17:40:00,309.14,25,room 4
6,1,thirding lesson,thirding lesson description,2022-11-02,11:50:00,13:20:00,55.81,25,room 27
6,1,suffering lesson,suffering lesson description,2022-11-10,17:42:00,19:12:00,73.76,25,online
6,3,acting lesson,acting lesson description,2022-11-18,08:40:00,10:10:00,338.18,25,room 3
6,3,localing lesson,localing lesson description,2022-11-26,15:42:00,17:12:00,287.28,25,room 24
6,3,includinging lesson,includinging lesson description,2022-12-04,13:47:00,15:17:00,49.84,25,room 26
6,1,likeing lesson,likeing lesson description,2022-12-12,09:01:00,10:31:00,402.84,25,room 15
6,1,staying lesson,staying lesson description,2022-12-19,13:42:00,15:12:00,83.54,25,room 26
7,1,haveing lesson,haveing lesson description,2023-01-01,11:58:00,13:28:00,242.94,25,room 18
7,1,magazineing lesson,magazineing lesson description,2023-01-04,12:50:00,14:20:00,345.80,25,room 13
7,1,whating lesson,whating lesson description,2023-01-08,12:47:00,14:17:00,448.31,25,room 21
7,1,perhapsing lesson,perhapsing lesson description,2023-01-11,09:00:00,10:30:00,398.99,25,room 7
7,1,yeting lesson,yeting lesson description,2023-01-15,14:47:00,16:17:00,294.69,25,room 17
7,1,thoughting lesson,thoughting lesson description,2023-01-18,13:41:00,15:11:00,427.55,25,online
7,1,northing lesson,northing lesson description,2023-01-22,13:30:00,15:00:00,462.84,25,room 4
7,1,hising lesson,hising lesson description,2023-01-25,15:18:00,16:48:00,144.18,25,room 8
7,1,knowing lesson,knowing lesson description,2023-01-29,08:32:00,10:02:00,418.50,25,room 25
7,1,worrying lesson,worrying lesson description,2023-02-02,10:28:00,11:58:00,221.72,25,room 8
7,1,freeing lesson,freeing lesson description,2023-02-05,17:54:00,19:24:00,149.27,25,room 24
7,1,applying lesson,applying lesson description,2023-02-09,09:14:00,10:44:00,454.27,25,room 18
7,1,whiching lesson,whiching lesson description,2023-02-12,09:50:00,11:20:00,282.79,25,room 14
7,1,supporting lesson,supporting lesson description,2023-02-16,12:09:00,13:39:00,471.62,25,room 13
7,1,responsibilitying lesson,responsibilitying lesson description,2023-02-19,09:01:00,10:31:00,417.55,25,online
